danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.729,0.549,-5.332,0.0292,0.0865,0.0,0.0951,0.624,95.012,2LWJ0zNei0z2WjHHwSNUkx,188575
0.685,0.549,-6.826,0.0361,0.0409,0.0,0.136,0.614,115.039,538txyi52ZOwzWxIQsCT12,193526
0.539,0.338,-8.693,0.0299,0.911,0.0,0.106,0.247,99.786,7FGDL2pk8qcJDAvn4BF3Al,175916
0.548,0.295,-10.276,0.245,0.693,0.000278,0.247,0.123,152.593,60KvZItTS7PpROovaNVQcy,248733
0.729,0.622,-6.931,0.087,0.0216,0.0,0.294,0.588,88.966,1FNpMhXQtpIfN0BXwEvIWS,175760
0.714,0.462,-10.627,0.354,0.79,0.000158,0.121,0.889,82.103,6bVtAHmzr3X8pwJ2TpeF2G,120000
0.698,0.546,-7.234,0.0559,0.425,0.00314,0.16,0.335,145.044,2GAhgAjOhEmItWLfgisyOn,181080
0.804,0.771,-4.067,0.0433,0.357,3.07e-06,0.108,0.739,126.956,65FftemJ1DbbZ45DUfHJXE,212253
0.555,0.634,-5.522,0.273,0.129,2.32e-06,0.188,0.555,170.228,2SiAcexM2p1yX6joESbehd,174045
0.706,0.821,-2.974,0.0617,0.00164,0.0,0.0981,0.918,139.914,4GvPlSOKfN7aXEuGW8zKUx,168280
0.814,0.722,-5.487,0.0454,0.33,0.0,0.0713,0.47,142.959,1JXoYzZXVW7H829mHfiWRm,150604
0.62,0.837,-4.356,0.13,0.128,0.000242,0.242,0.433,172.081,5RobAV5ROH5KARimi7n3cO,170438
0.478,0.769,-5.092,0.0448,0.168,0.0,0.156,0.157,155.998,1SFA5zEVOsLhEg7ynbvQFT,224615
0.692,0.758,-3.453,0.0522,0.158,0.0,0.0774,0.701,94.058,3UEOT0hD60yGB1OMWJxLQ8,146654
0.751,0.618,-6.643,0.324,0.596,0.0,0.129,0.707,93.728,5DFi6D7SrYHRIgZbY5MqqE,204894
0.325,0.59,-3.943,0.0495,0.0686,0.0,0.104,0.278,180.449,4JBiO7wRnE6ueszEUpo347,235752
0.573,0.422,-7.621,0.0678,0.551,1.31e-05,0.102,0.693,124.357,26b3oVLrRUaaybJulow9kz,184791
0.735,0.449,-9.933,0.383,0.859,0.0,0.213,0.514,146.016,3zkyus0njMCL6phZmNNEeN,175890
0.626,0.842,-3.827,0.0357,0.014,0.0,0.235,0.55,145.03,1ItdTDx23yt7tIJOZv5iLQ,178010
